Country,2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Spain,68 ,61 , 75,"Children estimates were not available at the time of publication.",69 ,62 , 76,"Children estimates were not available at the time of publication.",72 ,64 , 79,"Children estimates were not available at the time of publication.",73 ,64 , 81,"Children estimates were not available at the time of publication.",74 ,65 , 82,"Children estimates were not available at the time of publication.",76 ,67 , 85,"Children estimates were not available at the time of publication.",83 ,72 , 93,"Children estimates were not available at the time of publication.",84 ,73 , 94,"Children estimates were not available at the time of publication.",85 ,73 , 96,"Children estimates were not available at the time of publication.",85 ,73 , 96,"Children estimates were not available at the time of publication.",85 ,73 , 96,"Children estimates were not available at the time of publication."
Sri Lanka,7 ,6 , 8,,8 ,7 , 9,,10 ,9 , 11,,13 ,12 , 15,,17 ,15 , 19,,21 ,19 , 23,,28 ,25 , 31,,34 ,31 , 38,,42 ,38 , 46,,50 ,45 , 55,,58 ,53 , 64,
Sudan,5 ,4 , 6,,6 ,5 , 7,,6 ,5 , 7,,8 ,7 , 9,,9 ,8 , 11,,10 ,9 , 12,,13 ,11 , 15,,17 ,15 , 20,,19 ,16 , 23,,22 ,19 , 26,,25 ,22 , 29,
Suriname,24 ,21 , 28,,27 ,23 , 32,,35 ,30 , 42,,39 ,33 , 47,,44 ,37 , 52,,45 ,39 , 55,,50 ,43 , 61,,52 ,44 , 65,,55 ,46 , 69,,55 ,45 , 69,,35 ,29 , 44,
Sweden,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Switzerland,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Syrian Arab Republic,10 ,8 , 11,,13 ,11 , 14,,15 ,13 , 16,,14 ,13 , 16,,15 ,13 , 17,,15 ,13 , 18,,16 ,14 , 20,,20 ,17 , 24,,26 ,22 , 31,,32 ,27 , 38,,34 ,28 , 39,
Tajikistan,8 ,7 , 9,,10 ,9 , 11,,11 ,11 , 12,,14 ,13 , 15,,19 ,18 , 21,,27 ,25 , 29,,33 ,31 , 36,,39 ,36 , 43,,46 ,42 , 50,,51 ,47 , 57,,56 ,51 , 63,
Thailand,34 ,31 , 37,,38 ,34 , 41,,41 ,37 , 45,,45 ,41 , 49,,49 ,44 , 54,,53 ,48 , 58,,59 ,54 , 65,,64 ,58 , 71,,70 ,64 , 78,,75 ,68 , 83,,79 ,71 , 87,
Timor-Leste,11 ,8 , 16,,10 ,7 , 14,,14 ,11 , 20,,21 ,16 , 28,,24 ,19 , 31,,24 ,19 , 31,,27 ,21 , 34,,29 ,23 , 37,,35 ,28 , 46,,44 ,34 , 58,,51 ,38 , 69,
Togo,21 ,20 , 22,,24 ,23 , 25,,27 ,26 , 28,,30 ,29 , 32,,33 ,32 , 35,,39 ,37 , 41,,46 ,44 , 48,,53 ,51 , 56,,58 ,56 , 61,,68 ,66 , 72,,72 ,69 , 76,
Trinidad and Tobago,40 ,37 , 43,"Children estimates were not available at the time of publication.",43 ,39 , 46,"Children estimates were not available at the time of publication.",48 ,44 , 52,"Children estimates were not available at the time of publication.",53 ,49 , 58,"Children estimates were not available at the time of publication.",56 ,51 , 61,"Children estimates were not available at the time of publication.",59 ,54 , 65,"Children estimates were not available at the time of publication.",60 ,54 , 66,"Children estimates were not available at the time of publication.",61 ,55 , 67,"Children estimates were not available at the time of publication.",68 ,61 , 75,"Children estimates were not available at the time of publication.",74 ,66 , 82,"Children estimates were not available at the time of publication.",70 ,62 , 78,"Children estimates were not available at the time of publication."
Tunisia,15 ,14 , 17,,17 ,15 , 18,,15 ,14 , 16,,18 ,16 , 19,,20 ,18 , 21,,21 ,20 , 23,,24 ,22 , 26,,24 ,22 , 27,,27 ,24 , 30,,30 ,27 , 35,,32 ,28 , 37,
Turkey,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Turkmenistan,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Uganda,20 ,19 , 22,,23 ,22 , 25,,31 ,30 , 34,,41 ,39 , 45,,51 ,48 , 56,,55 ,53 , 61,,62 ,59 , 68,,71 ,67 , 78,,72 ,68 , 79,,87 ,82 , 96,,90 ,85 , >98,
Ukraine,10 ,8 , 13,,12 ,10 , 15,,19 ,15 , 23,,25 ,20 , 31,,29 ,24 , 36,,29 ,23 , 36,,39 ,32 , 49,,44 ,36 , 55,,51 ,41 , 63,,55 ,45 , 69,,57 ,46 , 72,
United Arab Emirates,>98 ,82 , >98,,>98 ,83 , >98,,>98 ,98 , >98,,>98 ,93 , >98,,84 ,59 , >98,,73 ,54 , 89,,58 ,44 , 70,,57 ,44 , 68,,52 ,41 , 62,,48 ,39 , 56,,85 ,71 , >98,
United Kingdom,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
United Republic of Tanzania,18 ,17 , 20,,19 ,18 , 21,,30 ,29 , 33,,35 ,33 , 39,,43 ,40 , 47,,48 ,45 , 53,,53 ,50 , 58,,59 ,56 , 65,,66 ,62 , 72,,74 ,70 , 81,,82 ,77 , 90,
United States,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Uruguay,40 ,34 , 48,,42 ,35 , 50,,40 ,34 , 48,,62 ,52 , 74,,64 ,55 , 78,,65 ,55 , 79,,65 ,55 , 79,,69 ,58 , 84,,76 ,64 , 93,,78 ,64 , 94,,81 ,67 , >98,
Uzbekistan,13 ,11 , 14,,15 ,13 , 16,,5 ,5 , 6,,11 ,10 , 12,,17 ,14 , 18,,30 ,27 , 33,,36 ,32 , 40,,43 ,39 , 49,,50 ,45 , 58,,48 ,44 , 57,,54 ,49 , 65,
Venezuela (Bolivarian Republic of),36 ,33 , 38,,36 ,34 , 38,,37 ,35 , 40,,37 ,34 , 39,,37 ,35 , 40,,49 ,45 , 53,,46 ,42 , 50,,36 ,33 , 39,,26 ,23 , 28,,43 ,38 , 47,,55 ,48 , 60,
Viet Nam,23 ,21 , 26,,28 ,25 , 31,,33 ,30 , 36,,37 ,33 , 40,,40 ,36 , 44,,47 ,43 , 51,,52 ,47 , 56,,58 ,52 , 63,,61 ,56 , 67,,65 ,59 , 71,,68 ,63 , 75,
Yemen,10 ,9 , 11,,12 ,11 , 12,,12 ,11 , 13,,14 ,13 , 15,,18 ,17 , 19,,19 ,18 , 20,,22 ,21 , 23,,24 ,22 , 25,,25 ,24 , 26,,27 ,26 , 28,,28 ,26 , 29,
Zambia,32 ,31 , 35,,38 ,36 , 41,,42 ,40 , 45,,47 ,45 , 51,,54 ,51 , 58,,60 ,58 , 65,,62 ,59 , 67,,64 ,60 , 69,,71 ,67 , 77,,75 ,71 , 83,,81 ,76 , 89,
Zimbabwe,30 ,27 , 33,,39 ,36 , 43,,46 ,42 , 50,,53 ,49 , 58,,60 ,55 , 66,,66 ,60 , 72,,72 ,66 , 79,,82 ,74 , 89,,76 ,70 , 83,,90 ,82 , 98,,93 ,85 , >98,
Global,25 ,18,30,,30 ,20,36,,35 ,24,42,,40 ,27,48,,44 ,31,54,,49 ,34,60,,55 ,38,66,,60 ,44,72,,63 ,48,76,,69 ,53,83,,73 ,56,88,
