country,iso2,year,new.labconf,new.clindx,new.ep,ret.rel.labconf,ret.rel.clindx,ret.rel.ep,ret.nrel,ret.nrel.clindx,c.newunk,c.newinc,c.ret,c.notified,pulm.labconf.new,pulm.labconf.ret,pulm.labconf.unk,notif.foreign,rel.in.agesex.flg,agegroup.option,newrel.m04,newrel.m59,newrel.m1014,newrel.m514,newrel.m014,newrel.m1519,newrel.m2024,newrel.m1524,newrel.m2534,newrel.m3544,newrel.m4554,newrel.m5564,newrel.m65,newrel.m15plus,newrel.mu,newrel.f04,newrel.f59,newrel.f1014,newrel.f514,newrel.f014,newrel.f1519,newrel.f2024,newrel.f1524,newrel.f2534,newrel.f3544,newrel.f4554,newrel.f5564,newrel.f65,newrel.f15plus,newrel.fu,c.new.014,rdx.data.available,newinc.rdx,rdxsurvey.newinc,rdxsurvey.newinc.rdx,gaps.na.tbcases,remarks.tbcases,conf.rr.nfqr,conf.rr.fqr,unconf.rr.nfqr.tx,conf.rr.nfqr.tx,rrmdr.014.tx,conf.rr.fqr.tx,mdrxdr.bdq.used,mdrxdr.bdq.tx,mdrxdr.alloral.used,mdrxdr.alloral.tx,mdr.alloral.short.used,mdr.alloral.short.tx,mdr.tx.adsm,gaps.na.mdr.patients,remarks.mdr.patients,r.rlt.new,r.rlt.ret,rr.new,rr.ret,r.rlt.rel,rr.rel,dst.rlt.new,dst.rlt.ret,dst.rlt.hr.new,dst.rlt.hr.ret,dst.rlt.rr.new,dst.rlt.rr.ret,mdr.new,mdr.ret,rr.dst.rlt.fq,rr.fqr,rr.fqr.bdqr.lzdr,rr.fqr.bdqs.lzdr,rr.fqr.bdqu.lzdr,rr.fqr.bdqr.lzds,rr.fqr.bdqs.lzds,rr.fqr.bdqu.lzds,rr.fqr.bdqr.lzdu,rr.fqr.bdqs.lzdu,rr.fqr.bdqu.lzdu,gaps.na.dr.surveillance,remarks.dr.surveillance,newrel.tbhiv.flg,newrel.hivtest,newrel.hivpos,newrel.art,tbhiv.014.flg,newrel.hivtest.014,newrel.hivpos.014,newrel.art.014,gaps.na.hiv.patients,remarks.hiv.patients,hiv.tbrx.art,hiv.tbrx.art.NA,hiv.tbrx.art.NI.reason,hiv.tbrx.art.remarks,hiv.tbdetect,hiv.reg.new2,hiv.tbdetect.hiv.reg.new2.NA,hiv.tbdetect.hiv.reg.new2.NI.reason,hiv.tbdetect.hiv.reg.new2.remarks,hiv.new.tpt,hiv.new,hiv.all.tpt,hiv.all,hiv.tpt.eligible.start.NA,hiv.tpt.eligible.start.NI.reason,hiv.tpt.eligible.start.remarks,hiv.all.tpt.completed,hiv.all.tpt.started,hiv.tpt.completed.NA,hiv.tpt.completed.NI.reason,hiv.tpt.completed.remarks,hiv.unaids.date.exported,tbhiv.surveil,tbhiv.surv.prev,tbhiv.surv.yr,tbhiv.surv.cil,tbhiv.surv.ciu,tbhiv.sentin.prev,tbhiv.sentin.yr,tbhiv.sentin.cil,tbhiv.sentin.ciu,gaps.na.nonroutine.hiv,remarks.nonroutine.hiv,total.deaths.vr,r00.r99.deaths.vr,tbdeaths.vr,gaps.na.tbdeaths,remarks.tbdeaths
Micronesia (Federated States of),FM,2021,27,36,8,1,0,0,1,,71,72,2,73,27,1,0,3,1,220,3,3,1,,,2,4,,7,5,9,13,0,40,0,0,3,1,,,2,2,,4,3,5,5,0,21,0,11,60,54,,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,,27,1,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,72,0,0,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Faroe Islands,FO,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,,,,,,,,,,,,,,,,
France,FR,2021,1875,915,1294,0,0,0,235,55,4084,4084,235,4319,1183,126,692,2638,1,220,39,16,33,,,221,293,,648,417,286,215,504,2584,0,41,15,24,,,67,135,,270,252,195,132,281,1332,0,168,60,0,,,,Data extracted from ECDC/TESSy 2022-08-26,37,6,0,0,0,0,1,,1,,1,,,1,{2.14-2-20: Data extracted from ECDC/TESSy 2022-08-26}. ,17,6,17,6,,,13,4,13,4,13,4,13,4,16,3,0,0,0,0,0,0,0,3,0,1,Data extracted from ECDC/TESSy 2022-08-26,,,,,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,1,,,,,5.3,2020,4.2,6.5,1,,401,,401,1,2017 data
Gabon,GA,2021,2479,1721,644,118,100,11,128,,4844,5073,357,5201,2479,118,0,0,1,221,34,,,97,,,,628,938,666,440,216,114,3002,0,32,,,99,,,,415,567,386,215,143,83,1809,0,262,60,2665,,,0,,77,6,0,63,0,6,1,63,1,6,1,57,6,0,,807,118,45,32,,,802,118,45,32,45,32,45,32,56,4,,,,,,,,,,1, Le pays ne réalise pas les DST pour la bedaquiline et la linezolide.Mais seulement pour les fluoroquinolones et les aminosides.,1,1932,704,472,1,15,15,12,0,,472,0,,,472,704,0,,,,,,,0,Record removed by UNAIDS,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
United Kingdom of Great Britain and Northern Ireland,GB,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,,,,,,,,,,,,,,,,
Grenada,GD,2021,1,,,1,0,0,0,,1,2,1,2,1,1,0,0,1,220,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,,,,,60,0,,,1,,0,0,0,0,0,0,0,,0,,0,,0,1,,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,1,,1,2,0,0,1,0,0,0,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Georgia,GE,2021,955,52,291,164,10,29,144,8,1298,1501,347,1645,955,286,0,,1,220,6,8,8,,,31,59,,164,215,206,199,116,990,0,5,7,13,,,25,51,,135,91,57,47,58,464,0,47,60,1403,,,1,,149,38,19,140,6,35,1,167,1,33,1,126,194,0,,953,267,101,79,,,790,177,149,83,88,64,84,62,148,37,2,2,0,5,21,0,1,4,2,1,,1,1430,43,43,,,,,0,,39,0,,,23,497,0,,,,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,0,,59906,7348,56,1,Number of deaths registered by the vital registration system of our country is not available until 1 July.
Ghana,GH,2021,8893,3098,888,459,55,8,245,,12879,13401,767,13646,8878,618,15,,1,221,162,,,183,,,,691,1707,2394,1899,1110,1027,8828,0,136,,,164,,,,483,743,830,680,451,523,3710,0,645,60,12525,,,1,"2.9 includes all new and relapse cases as per the 2013 WHO surveillance tools.  It however excluded disaggregation for RR and/or MDR-TB cases.  The NTP is revising the surveillance tools to conform with the 2021 revision.
2.11  This excludes Extrapulmonary cases for which there were no bacteriogical tests and cases diagnosed using smear microscopy",217,1,0,200,0,1,1,201,1,40,1,160,201,0,,8532,618,188,30,,,188,30,22,12,188,30,22,12,189,1,,,,,,,0,0,1,1,"Of the 218 RR-TB patients notified, 189 were tested for fluoroquinolone resistance",1,12632,1820,1753,,,,,0,,1753,0,,,1430,29405,0,,,,,19063,,0,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Greenland,GL,2021,24,4,3,3,0,0,0,0,31,34,3,34,24,3,0,0,1,220,1,,,,,1,1,,4,,2,5,6,19,0,,,,,,,2,,5,,3,1,3,14,0,1,60,32,,,1,,0,0,0,0,0,0,0,,0,,0,,,1,We are trying to get the information.,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,23,3,3,,,,,1,Probably are more than those recorded actually testet for HIV.,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,1,,525,,1,1,Data still incomplete.
Gambia,GM,2021,1532,490,140,92,0,0,25,,2162,2254,117,2279,1532,117,0,0,1,221,19,,,38,,,,323,450,299,185,124,125,1506,0,14,,,48,,,,143,167,125,72,67,55,629,0,119,0,,,,1,,12,0,0,12,0,0,0,,0,,0,,12,1,,1175,117,3,9,,,217,0,217,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,2004,260,231,,,,,0,,231,0,,,,,0,Record removed by UNAIDS,,,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Guinea,GN,2021,10222,3394,4671,338,98,31,338,,18287,18754,805,19092,9441,338,781,,1,221,163,,,491,,,,1944,3032,2386,1718,1055,807,10942,0,149,,,439,,,,1453,1740,1415,923,582,457,6570,0,1242,60,5801,,,1,,376,16,0,315,6,9,1,164,1,6,1,151,322,0,,4242,338,227,165,,,143,171,131,148,129,165,122,147,189,16,,,,,,,,,,1,LE TEST POUR LA BEDAQUILINE ET LINEZOLIDE POUR LES PATIENTS PRE UR (2.37) N'EST DISPONIBLE,1,17276,3480,3392,0,,,,1,,,1,,,,,1,,,,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,1,,,,,,
Equatorial Guinea,GQ,2021,905,611,161,101,88,12,58,,1677,1878,259,1936,905,138,0,22,1,220,15,16,31,,,61,98,,295,238,154,96,49,991,0,9,18,21,,,98,114,,264,160,68,40,33,777,0,110,60,70,,,0,,35,0,0,35,1,0,1,2,0,,1,2,34,0,,492,77,23,12,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,,1,1760,723,500,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Greece,GR,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,,,,,,,,,,,,,,,,
Guatemala,GT,2021,2132,450,262,202,28,15,61,,2844,3089,306,3150,2128,247,4,9,1,220,56,71,14,,,76,200,,395,331,292,198,196,1688,4,72,76,42,,,56,103,,234,197,206,155,113,1064,2,331,60,971,,,0,,64,6,5,55,5,5,1,59,1,5,1,54,64,0,,2022,235,34,30,,,92,111,15,55,13,27,9,6,44,6,0,0,0,0,0,0,0,0,6,0,"los datos 2.30 a 2.35 son datos reportados por el LNS, que no se lleva una base nominal de seguimiento. En el pais no se están realizando PSD a linezolid",1,3014,269,216,1,311,3,3,0,,216,0,,"METODOLOGÍA:
Para la construcción del numerador del indicador se utilizó la base de datos de Coinfección VIH-TB con datos nominales de las 16 Unidades de Atención Integral del MSPAS. En la base se registran todos los pacientes con Tuberculosis que tiene identificados el Programa de Tuberculosis, se utiliza la variable de ""VIH"" para seleccionar a aquellos pacientes con la opción ""R"" que significa que son positivos confirmado de VIH. Para identificar si reciben terapia combinada, se selección la opción ""Si"" de la variable de ""TARV"". 

No hay datos para poder desagregar el indicador por ciudad, esto debido a que los instrumentos no recolectan información de la ciudad de residencia de las personas actualmente.

Se utiliza el dato consensuado junto el Programa de Tuberculosis.
",161,1971,0,,"METODOLOGÍA:
Para la construcción del numerador del indicador se utilizó la base de datos de Coinfección VIH-TB con datos nominales de las 16 Unidades de Atención Integral del MSPAS. En la base se registran todos los pacientes con Tuberculosis que tiene identificados el Programa de Tuberculosis, se utiliza la variable de ""VIH"" para seleccionar a aquellos pacientes con la opción ""R"" que significa que son positivos confirmado de VIH. Para identificar si reciben tratamiento antirretroviral, se selección la opción ""Si"" de la variable de ""TARV"". Finalmente para identificar que son nuevos, se selecciona de la variable de ""Fecha de VIH"" el año 2021. 

Para la construcción del denominador se utilizó el número de personas consolidado de la sumatoria de lo reportado en el Anexo D ""Consolidado mensual de personas recibiendo terapia antirretroviral"" del cuadro de ""IV. PACIENTES CON VIH DE NUEVO INGRESO A LA UAI EN TAR EN EL MES DEL REPORTE"" y del Anexo F del cuadro de ""IX. PACIENTE",628,1971,3739,22466,0,,"METODOLOGÍA (Recién matriculados en la atención del VIH):
Para la construcción del numerador del indicador de personas recién inscritas en servicios de VIH con TAR que iniciaron tratamiento para la infección por tuberculosis latente; se utilizo el número consolidado de personas reportadas en el Anexo E ""Consolidado Mensual Infecciones oportunistas en personas con VIH"" del cuadro de ""VIII. PACIENTES VIH EN TAR QUE INICIAN TERAPIA PREVENTIVA DE LA TUBERCULOSIS (TPT) - (COHORTE NUEVOS)"" de las 16 Unidades de Atención Integral del MSPAS. Para las instituciones que no reportan en los anexos (IGSS; Sanidad Militar y Hospicio San José); se solicitó la información en matrices consolidadas, sin embargo, no reportaron datos para este indicador. 

Para la construcción del denominador se utilizó el número de personas consolidado de la sumatoria de lo reportado en el Anexo D ""Consolidado mensual de personas recibiendo terapia antirretroviral"" del cuadro de ""IV. PACIENTES CON VIH D",1008,1552,0,,"METODOLOGÍA:
Para la construcción del numerador del indicador se utilizó el número consolidado de personas reportadas en el Anexo E ""Consolidado Mensual Infecciones oportunistas en personas con VIH"" del cuadro de ""IX. PACIENTES VIH EN TAR QUE COMPLETARON UN CICLO DE TPT EN EL MES DE REPORTE - (COHORTE TOTAL)"" y del cuadro de ""X. PACIENTES VIH EN TAR QUE COMPLETARON UN CICLO DE TPT EN EL MES DE REPORTE - (COHORTE NUEVOS)"" de las 16 Unidades de Atención Integral del MSPAS. Para las instituciones que no reportan en los anexos (IGSS; Sanidad Militar y Hospicio San José); se solicitó la información en matrices consolidadas, sin embargo, no reportaron datos para este indicador. 

Para la construcción del denominador se utilizó el dato de personas con VIH en TAR que comenzaron TPT el año pasado (2020).

No hay datos para poder desagregar el indicador por ciudad, esto debido a que los instrumentos no recolectan información de la ciudad de residencia de las personas actualment",2022-08-26,0,,,,,,,,,0,,,,,,
Guam,GU,2021,38,15,3,2,0,0,0,,56,58,2,58,38,2,0,32,1,220,1,1,0,,,2,4,,4,2,8,10,6,36,0,1,2,0,,,1,3,,0,5,3,2,3,17,0,5,60,39,,,0,,1,0,0,1,0,0,1,1,1,1,0,,1,0,,35,2,1,0,,,35,2,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,52,1,1,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Guinea-Bissau,GW,2021,2172,258,43,17,0,0,15,,2473,2490,32,2505,2172,32,0,0,1,221,19,,,30,,,,260,435,396,225,94,82,1492,0,9,,,38,,,,167,266,229,121,63,56,902,0,96,60,1951,,,1,,45,0,0,44,1,0,1,2,1,1,1,1,44,1,,1934,17,33,11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,2103,620,464,0,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,1,,,,,,
Guyana,GY,2021,267,73,34,28,12,0,47,,374,414,87,461,267,62,0,11,1,220,1,1,2,,,14,22,,56,58,66,44,27,287,0,2,1,1,,,8,9,,29,20,26,12,15,119,0,8,60,268,,,0,,,,6,6,0,,0,,0,,0,,12,1,,237,57,3,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No testing is currently being done for 2nd line TB medication,1,341,65,53,1,7,1,1,0,Updated coverage results shared with NAPS to update the GAM report.,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
"China, Hong Kong SAR",HK,2021,2301,422,755,147,49,37,24,,3478,3711,257,3735,2300,171,1,410,1,220,2,0,6,,,32,42,,111,134,243,508,1235,2305,0,2,1,9,,,15,50,,194,245,210,220,452,1386,0,20,0,,,,0,,28,3,0,27,0,3,1,26,1,25,1,2,30,0,"2.23 The number was the total intended ""all oral"" regimen but some patients were given an interim course of injectable to tide over the period of side-effects.

2.26 Two cases were started on all oral shorter regimen but they all had drug intolerance and were then changed to all oral longer regimen after 2 days.",2181,156,22,6,,,2180,156,113,10,21,6,17,4,27,3,0,0,0,0,3,0,0,0,0,0,,1,2940,30,27,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Honduras,HN,2021,1628,153,163,100,11,8,29,,1944,2063,148,2092,1628,119,0,0,1,220,13,5,9,,,50,165,,294,220,194,160,193,1276,0,7,8,6,,,43,91,,144,106,112,110,133,739,0,48,60,1004,,,0,,16,0,0,12,0,0,1,12,1,12,0,,12,0,Los pacientes que iniciaron tratamiento solamente fueron 12  ya que 2 fallecieron y 2 rehusaron ,690,80,9,7,,,689,80,4,1,9,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,2030,116,86,1,47,1,1,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Croatia,HR,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,,,,,,,,,,,,,,,,
Haiti,HT,2021,7108,1672,893,495,195,44,258,,9673,10407,992,10665,7100,724,8,0,1,220,268,99,110,,,578,585,,1840,1109,669,404,303,5488,,232,104,111,,,510,515,,1149,796,469,307,249,3995,,924,60,2380,,,1,,73,0,0,66,0,0,1,66,1,66,0,,66,0,,714,104,35,38,,,264,38,48,24,35,25,29,23,19,0,,,,,,,,,,1,Les antibiogrammes pour la Bédaquiline et la linézolide ne sont pas encore réalisés.,1,9768,1414,1303,1,788,83,74,0,,1145,0,,"Il s'agit des PVVIH qui recoivent le traitement TB au cours de la période de référence. En attendant la phase de validation de données de l'Equipe M&E de la Coordination du PNLT, les désagrégations seront disponibles.
",754,14598,0,,,12660,14598,,,0,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Hungary,HU,2021,164,112,13,9,12,0,21,4,289,310,42,331,164,25,0,27,1,220,3,0,0,,,3,5,,31,23,45,53,49,209,0,0,1,0,,,2,3,,13,14,15,20,30,97,0,4,60,0,,,,Data extracted from ECDC/TESSy 2022-08-26,5,6,0,4,0,6,,,,,,,,,{2.14-2-20: Data extracted from ECDC/TESSy 2022-08-26}. ,139,23,6,5,,,138,23,15,6,6,5,5,5,10,6,0,0,0,0,0,0,0,0,6,1,Data extracted from ECDC/TESSy 2022-08-26,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Indonesia,ID,2021,213685,170823,35353,8663,3553,500,10658,,419861,432577,23374,443235,199187,16370,14498,28,1,220,12690,5475,3659,,,12048,21803,,40688,42218,45947,40103,24435,227242,,10883,4618,4643,,,15777,22237,,32814,28972,30237,22506,10824,163367,,41968,60,214160,,,1,,7876,392,0,4817,42,417,1,4886,1,2682,1,1989,2872,0,"2.20 including patients diagnosed in 2020, but started treatment in 2021.

2.27 Data generated from electronic TB information systems with high probability of under-reporting. Core aDSM is mandatory based on National TB guideline for all DRTB patients starting treatment.",144511,15437,4014,3814,8126,1772,1471,1685,812,1225,1471,1685,812,1225,3780,385,3,23,0,7,109,13,2,1,227,1,,1,209157,8015,3242,1,11536,232,73,0,"The number of TB/HIV patients on ART in 2021 is different from report by the National AIDS Program to UNAIDS due to different submission time. The National AIDS Program to UNAIDS was submitted in April 2022 and used data from SITB by 2 March 2022. Meanwhile, Global TB Reported will be submitted on 18 May 2022 and using data by 28 April 2022. ",3211,0,,,2326,42966,0,,,1985,42966,,,0,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Ireland,IE,2021,115,39,56,,,,7,1,210,210,7,217,50,5,65,122,1,220,0,0,1,,,5,4,,39,23,24,16,20,131,0,0,0,0,,,2,5,,27,16,9,9,9,77,0,1,60,91,,,,Data extracted from ECDC/TESSy 2022-08-26,7,1,0,2,0,1,1,1,1,1,3,,3,0,{2.14-2-20: Data extracted from ECDC/TESSy 2022-08-26}. ,40,4,0,2,,,39,4,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Data extracted from ECDC/TESSy 2022-08-26,1,64,1,1,,,,,0,Please take the above 2.44 and 2.45 from TESSy,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,1,Data not available till June 2022.
Israel,IL,2021,103,30,76,1,3,0,0,0,209,213,4,213,103,1,0,171,1,220,6,1,0,,,1,2,,32,4,21,13,21,94,0,1,1,1,,,1,3,,14,17,11,8,25,79,0,10,0,,,,1,"Despite the fact that Xpert is available in Israel, our routine surveillance include only Culture & DST",6,12,0,6,0,12,1,10,3,,3,,12,0,,103,1,9,0,,,103,1,17,0,9,0,9,0,9,5,0,0,0,0,0,0,0,0,5,0,,1,213,16,16,,,,,0,,,1,,,,,1,,,,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,13,1,
India,IN,2021,882353,502320,478296,91884,6760,3831,151532,,1862969,1965444,254007,2116976,882353,176634,0,,1,220,17795,14410,22326,,,82849,119114,,205797,195011,206301,181671,138221,1128964,0,10784,11063,38203,,,107185,126747,,174319,104745,87993,70301,50609,721899,0,114581,60,432398,,,1,2.6 - this data is not available in the national database ,47902,10935,145,43112,3535,9780,1,16752,1,23889,1,1939,52892,1,"All MDR-TB, Pre-XDR-TB, XDR-TB patients are actively and systematically subjected to clinical and laboratory assessment at the time of treatment initiation and while managing toxicities. Before November 2021, aDSM were documented locally at DR-TB centre level. Since November 2021, an aDSM electronic reporting module developed and released in Nikshay.",673008,128236,31847,22352,65789,20227,175057,46325,19067,14311,12986,10497,9417,7872,19752,10307,3,7,117,6,130,1786,3,7,8248,0,,1,1868972,34339,31935,1,104981,669,622,0,,,0,Record removed by UNAIDS,"NACP Programme data and National TB Elimination Programme Data
",,,1,,,,,,,,Reporting dates were not provided.,,279966,357892,0,,"National AIDS Control Programme data
",2022-08-26,0,,,,,,,,,0,,,,,,
Iraq,IQ,2021,2074,930,2530,129,59,79,31,,5534,5801,298,5832,2074,149,0,0,1,221,82,,,132,,,,460,637,662,481,289,336,2865,0,55,,,169,,,,637,436,364,365,332,364,2498,0,438,0,,,,1,,100,10,10,100,2,10,1,78,1,76,1,2,78,0,,618,149,43,57,,,618,149,32,54,43,57,27,50,100,1,,,,,,,,,,1,,0,5339,2,2,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,1,,,,,,
Iran (Islamic Republic of),IR,2021,3909,593,1380,212,63,42,116,,5882,6199,433,6315,3909,324,0,1253,1,220,41,25,26,,,100,230,,522,575,489,487,894,3297,0,36,26,54,,,109,154,,340,309,312,483,987,2694,0,208,0,,,,0,,39,1,0,34,0,0,1,25,1,34,0,,34,0,,1828,263,19,20,,,1360,235,30,44,19,20,6,14,18,1,0,0,0,0,0,0,0,0,1,0,,1,5650,120,110,,,,,0,,110,0,,,49,977,0,,,51,977,233,15815,0,,,172,201,0,,,2022-08-26,0,,,,,,,,,0,,,,,,
Iceland,IS,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,,,,,,,,,,,,,,,,
Italy,IT,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,,,,,,,,,,,,,,,,
Jamaica,JM,2021,44,9,4,0,0,0,0,,57,57,0,57,44,0,0,0,1,221,0,,,1,,,,1,11,5,7,6,6,36,0,1,,,1,,,,4,3,0,4,5,2,18,0,3,60,14,,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,,44,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,51,8,8,1,0,0,0,0,,9,0,,,1,1340,0,,,,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Jordan,JO,2021,79,24,114,2,0,0,6,,217,219,8,225,79,8,0,25,1,222,,,,,5,,,13,24,17,12,13,8,87,,,,,,7,,,33,37,20,12,12,6,120,,12,60,64,,,1,,4,0,0,2,1,0,1,1,1,1,1,1,2,0,,62,2,1,0,,,62,2,4,0,1,0,1,0,1,0,,,,,,,,,,0,,0,214,0,0,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Japan,JP,2021,7072,999,2988,278,64,118,,,11059,11519,460,11519,6982,278,90,1313,1,220,5,4,3,,,48,235,,414,274,488,603,4652,6714,0,9,1,7,,,50,212,,384,282,325,243,3280,4776,0,29,0,,,,1,,,,,,,,1,40,1,,0,,40,1,2.27: 40 or more. All cases that includes either Bedaquiline or Delamanid are actively monitored. 38 cases started Delamanid and mostly treated with both Bedaquiline and Delamanid.,4343,166,48,7,,,4335,166,205,11,48,7,36,4,,,,,,,,,,,,1,,1,847,30,,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Kenya,KE,2021,39351,22629,9606,2648,1525,251,1844,,71586,76010,6268,77854,39335,3780,16,0,1,220,2435,666,785,,,2526,4621,,12259,11947,7493,3881,3373,46100,0,2177,538,825,,,2129,2990,,5939,4805,2935,1768,1918,22484,0,7426,60,49233,,,0,,465,5,16,465,16,5,1,363,1,465,1,0,465,0,,24832,2773,271,117,,,236,198,163,155,61,67,19,35,32,2,,,,,,,,,,1,,1,73830,17635,16996,1,7072,844,802,0,,,0,Record removed by UNAIDS,,,,0,Record removed by UNAIDS,,34389,108848,,,0,,"Indicator ""Total number of people currently enrolled on antiretroviral therapy who have started tuberculosis preventive treatment prior to the reporting period""  the data reported is reflective of 2014-2021 reporting period. However, the Countiry's reporting on IPT/TPT based on the National Health information system has not been optimal.
Newly enrolled on antiretroviral therapy: Age disaggreagtions as provided not available for this indicator.
",,,0,Record removed by UNAIDS,,2022-08-26,0,,,,,,,,,0,,,,,,
